player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
Enemy,-1,-1,4,5,6,5,2000
Me,5,8,-1,-1,-1,-1,0
Enemy,6,1,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,7,1,-1,-1,-1,-1,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,7,2,-1,-1,-1,-1,2000
Me,4,6,-1,-1,-1,-1,0
Enemy,-1,-1,2,5,4,5,2000
Me,3,6,-1,-1,-1,-1,0
Enemy,-1,-1,2,4,2,6,2000
Me,-1,-1,6,5,8,5,0
Enemy,7,3,-1,-1,-1,-1,2000
Me,3,7,-1,-1,-1,-1,0
Enemy,7,4,-1,-1,-1,-1,2000
Me,2,7,-1,-1,-1,-1,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,2,6,-1,-1,-1,-1,0
Enemy,-1,-1,0,4,2,4,2000
Me,-1,-1,7,3,7,5,0
Enemy,7,4,-1,-1,-1,-1,2000
Me,-1,-1,5,3,7,3,0
Enemy,6,4,-1,-1,-1,-1,2000
Me,-1,-1,5,2,5,4,0
Enemy,-1,-1,2,6,2,8,2000
Me,-1,-1,3,3,5,3,0
Enemy,-1,-1,1,6,3,6,2000
Me,1,6,-1,-1,-1,-1,0
Enemy,-1,-1,7,1,9,1,2000
Me,-1,-1,1,3,3,3,0
Enemy,-1,-1,5,1,7,1,2000
Me,1,7,-1,-1,-1,-1,0
Enemy,-1,-1,3,1,5,1,2000
Me,2,7,-1,-1,-1,-1,0
Enemy,-1,-1,1,1,3,1,2000
Me,-1,-1,4,4,6,4,0
Enemy,7,4,-1,-1,-1,-1,2000
Me,2,8,-1,-1,-1,-1,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,2,9,-1,-1,-1,-1,0
Enemy,6,5,-1,-1,-1,-1,2000
Me,3,9,-1,-1,-1,-1,0
Enemy,5,5,-1,-1,-1,-1,2000
Me,3,8,-1,-1,-1,-1,0
Enemy,4,5,-1,-1,-1,-1,2000
Me,3,7,-1,-1,-1,-1,0
Enemy,3,5,-1,-1,-1,-1,2000
Me,4,7,-1,-1,-1,-1,0
Enemy,3,4,-1,-1,-1,-1,2000
Me,4,6,-1,-1,-1,-1,0
Enemy,2,4,-1,-1,-1,-1,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,1,4,-1,-1,-1,-1,2000
Me,6,6,-1,-1,-1,-1,0
Enemy,1,3,-1,-1,-1,-1,2000
Me,7,6,-1,-1,-1,-1,0
Enemy,2,3,-1,-1,-1,-1,2000
Me,8,6,-1,-1,-1,-1,0
Enemy,3,3,-1,-1,-1,-1,2000
Me,9,6,-1,-1,-1,-1,0
Enemy,4,3,-1,-1,-1,-1,2000
Me,9,5,-1,-1,-1,-1,0
Enemy,5,3,-1,-1,-1,-1,2000
Me,9,4,-1,-1,-1,-1,0
Enemy,5,2,-1,-1,-1,-1,2000
Me,9,3,-1,-1,-1,-1,0
Enemy,6,2,-1,-1,-1,-1,2000
Me,9,2,-1,-1,-1,-1,0
Enemy,7,2,-1,-1,-1,-1,2000
Me,8,2,-1,-1,-1,-1,0
Enemy,9,2,-1,-1,-1,-1,2000
Me,-1,-1,7,2,9,2,0
Enemy,7,2,-1,-1,-1,-1,2000
Me,6,2,-1,-1,-1,-1,0
Enemy,7,3,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,8,3,-1,-1,-1,-1,2000
Me,4,2,-1,-1,-1,-1,0
Enemy,9,3,-1,-1,-1,-1,2000
Me,3,2,-1,-1,-1,-1,0
Enemy,9,4,-1,-1,-1,-1,2000
Me,2,2,-1,-1,-1,-1,0
Enemy,9,5,-1,-1,-1,-1,2000
Me,1,2,-1,-1,-1,-1,0
Enemy,9,6,-1,-1,-1,-1,2000
Me,1,1,-1,-1,-1,-1,1
